time,Female,Male
0,37.260934065934066,36.535714285714285
1,37.275659340659345,36.5471978021978
2,37.287142857142854,36.557307692307695
3,37.302142857142854,36.56406593406594
4,37.3215934065934,36.567362637362635
5,37.33340659340659,36.57906593406593
6,37.34521978021978,36.59373626373626
7,37.3598901098901,36.60467032967033
8,37.37649733120099,36.606593406593404
9,37.396208791208785,36.61549450549451
10,37.40659340659341,36.628571428571426
11,37.410824175824175,36.63978021978023
12,37.423351648351655,36.63989010989011
13,37.42967032967032,36.64741758241758
14,37.439120879120885,36.654725274725266
15,37.456043956043956,36.65923076923077
16,37.465274725274725,36.67862637362637
17,37.48368131868132,36.69560296232046
18,37.49648351648352,36.69648351648352
19,37.510659340659345,36.71087912087912
20,37.52230769230769,36.731318681318676
21,37.52620879120879,36.73164835164835
22,37.536332496036145,36.73214285714286
23,37.550947880651535,36.75928571428571
24,37.56501381471747,36.753626373626375
25,37.565989010989014,36.76879120879121
26,37.567197802197796,36.786317248034734
27,37.58318681318681,36.78587768759518
28,37.60730769230769,36.759117675814245
29,37.61587912087912,36.7589528406494
30,37.60911625413157,36.78708647880397
31,37.60411625413157,36.79521834693584
32,37.61307692307693,36.785054945054945
33,37.63269230769232,36.790769230769236
34,37.64703296703297,36.800824175824175
35,37.6567032967033,36.80543956043955
36,37.66323713325245,36.808901098901096
37,37.67288675129693,36.81307692307692
38,37.68486477327495,36.811098901098894
39,37.69338125679144,36.82780219780221
40,37.696407859802726,36.85142857142857
41,37.69563862903349,36.86351505023255
42,37.70911625413158,36.87214285714286
43,37.71807229808762,36.88186492856149
44,37.72450086951619,36.91538461538462
45,37.727907462922786,36.93835164835165
46,37.73356680358212,36.97093406593406
47,37.740160210175524,37.00313186813187
48,37.746968771999406,37.024890109890116
49,37.75784789287853,37.05895604395605
50,37.77185425690021,37.10148351648351
51,37.7891573242186,37.1343956043956
52,37.813063048109,37.17276366035733
53,37.83536611542739,37.20483516483517
54,37.861085026130986,37.239065934065934
55,37.88383227887824,37.28285714285714
56,37.90031579536175,37.319615384615375
57,37.92234876239472,37.34423076923077
58,37.93959688465816,37.36541605327582
59,37.9575685426145,37.38406593406593
60,37.97619491624087,37.393956043956045
61,37.99630480635076,37.418571428571425
62,38.00949161953758,37.433185379902866
63,38.01504107008703,37.441978021978024
64,38.02471139975735,37.45736263736264
65,38.037348762394714,37.47708791208792
66,38.044326784372736,37.49631868131868
67,38.04856680358211,37.517527472527476
68,38.050604395604395,37.53741758241759
69,38.05324175824176,37.54197802197802
70,38.060054945054944,37.55747252747253
71,38.07115384615385,37.57824175824176
72,38.08021978021978,37.60054945054945
73,38.09186813186813,37.619835164835166
74,38.10791208791209,37.64181318681318
75,38.12247252747253,37.654120879120875
76,38.1332967032967,37.67928571428571
77,38.13576923076923,37.70076923076923
78,38.13994505494505,37.71851648351648
79,38.145109890109886,37.72818681318682
80,38.14089006705724,37.72
81,38.1530329242001,37.73835164835165
82,38.16203928822178,37.74884615384615
83,38.161215112397606,37.745934065934065
84,38.16780851899101,37.770109890109886
85,38.18675361676894,37.79027472527473
86,38.19527010028542,37.80007135266503
87,38.2021931772085,37.806538461538466
88,38.206259111274434,37.81456043956044
89,38.20691845193377,37.81060439560439
90,38.208401968417284,37.816318681318684
91,38.214116254131575,37.82214285714285
92,38.2160942761096,37.82461538461538
93,38.20922614424146,37.85120735792486
94,38.20763273764806,37.844833731551226
95,38.21027472527473,37.82769230769231
96,38.21071428571428,37.839175824175825
97,38.2056043956044,37.85307692307693
98,38.199010989010986,37.848736263736264
99,38.198791208791214,37.84071428571429
100,38.198901098901096,37.84593406593407
101,38.19824175824176,37.856043956043955
102,38.1945054945055,37.86593406593407
103,38.18923076923077,37.85851648351649
104,38.18582417582417,37.854560439560444
105,38.18769230769231,37.85390109890109
106,38.18631868131868,37.8573076923077
107,38.184835164835164,37.848351648351645
108,38.18796240797773,37.841593406593404
109,38.193292078307394,37.841483516483514
110,38.1859843859997,37.84252747252747
111,38.176259111274426,37.84551091310458
112,38.181039331054656,37.83895604395604
113,38.193072298087614,37.80164514834171
114,38.19537999039531,37.81351648351648
115,38.19543493545025,37.816153846153846
116,38.19653383654915,37.82543812715562
117,38.19796240797773,37.83972527472527
118,38.20428108929641,37.82373626373626
119,38.21059977061508,37.80120879120879
120,38.20444592446125,37.80137362637363
121,38.19587449588981,37.816263736263735
122,38.20076460577992,37.81928571428571
123,38.20757779259311,37.81368131868132
124,38.20625911127443,37.800879120879124
125,38.20411625413158,37.79840659340659
126,38.198621748637066,37.7832967032967
127,38.18757779259311,37.772197802197795
128,38.17851185852718,37.776153846153846
129,38.17070966072498,37.777967032967034
130,38.16845691347224,37.76472527472527
131,38.17093406593406,37.74906593406593
132,38.168516483516484,37.74038461538461
133,38.16401098901099,37.749010989011
134,38.16785714285714,37.73554945054945
135,38.17703296703297,37.72587912087912
136,38.1734065934066,37.73164835164835
137,38.16659340659341,37.74269230769231
138,38.16494505494505,37.741978021978014
139,38.149230769230776,37.73593406593407
140,38.13197802197803,37.73263736263737
141,38.12560439560439,37.72829670329671
142,38.13093406593407,37.71214285714286
143,38.13631868131869,37.6904945054945
144,38.14565934065934,37.68192307692308
145,38.15153846153846,37.67675824175824
146,38.14917582417583,37.675384615384615
147,38.14917582417582,37.675934065934065
148,38.15560439560439,37.6765934065934
149,38.162087912087905,37.6804945054945
150,38.16571428571429,37.677582417582414
151,38.16642857142857,37.680346077939745
152,38.16571428571429,37.67649992409359
153,38.165439560439566,37.67148351648352
154,38.16197802197802,37.675934065934065
155,38.1573076923077,37.6656043956044
156,38.161373626373624,37.67406593406593
157,38.161703296703294,37.67373626373627
158,38.158186813186816,37.668406593406594
159,38.15807692307692,37.67901098901099
160,38.15862637362637,37.675054945054946
161,38.15653846153846,37.660054945054945
162,38.16472527472528,37.64368131868132
163,38.17324175824176,37.646043956043954
164,38.1767032967033,37.642857142857146
165,38.17807692307693,37.6189010989011
166,38.18269230769231,37.611318681318686
167,38.17824175824176,37.61862637362637
168,38.17456043956044,37.612307692307695
169,38.17060439560441,37.599890109890104
170,38.169835164835156,37.605274725274725
171,38.175384615384615,37.59521978021978
172,38.17357142857143,37.592637362637355
173,38.17065934065934,37.58609890109891
174,38.15609890109891,37.574560439560436
175,38.15785714285715,37.58043956043956
176,38.16565934065933,37.57999999999999
177,38.16302197802197,37.57967032967032
178,38.15956043956044,37.5832967032967
179,38.15379120879121,37.57263736263736
180,38.14527472527473,37.56159340659342
181,38.146373626373624,37.54983516483517
182,38.14313186813187,37.54538461538461
183,38.14192307692308,37.535824175824175
184,38.139010989010984,37.52862637362637
185,38.13478021978022,37.53368131868132
186,38.13027010028542,37.55043956043956
187,38.13059977061509,37.5560989010989
188,38.13219317720849,37.55516483516483
189,38.13076460577992,37.54873626373627
190,38.13345691347223,37.534945054945055
191,38.135874495889816,37.535989010989006
192,38.13747252747253,37.533186813186816
193,38.129450549450546,37.527637362637364
194,38.12,37.521098901098895
195,38.11159340659341,37.51521978021977
196,38.11049450549451,37.524890109890116
197,38.11137362637363,37.53005494505494
198,38.11175824175824,37.520714285714284
199,38.11554945054945,37.50791208791209
200,38.120659340659344,37.5021978021978
201,38.12384615384615,37.49285714285714
202,38.120769230769234,37.48115384615384
203,38.12126373626373,37.489505494505494
204,38.13148351648351,37.4995054945055
205,38.138901098901094,37.488901098901096
206,38.14335164835165,37.481153846153845
207,38.136098901098904,37.470879120879125
208,38.12703296703297,37.45928571428571
209,38.11758241758242,37.45043956043956
210,38.11395604395605,37.457472527472525
211,38.11115384615385,37.446978021978026
212,38.10989010989011,37.45274725274725
213,38.10758241758242,37.45296703296703
214,38.106813186813184,37.438241758241766
215,38.1032967032967,37.4317032967033
216,38.09967032967033,37.43010989010989
217,38.09983516483516,37.43368131868132
218,38.09851648351648,37.4354945054945
219,38.097637362637364,37.43115384615384
220,38.09505494505494,37.421208791208784
221,38.09082417582418,37.418406593406594
222,38.083351648351645,37.421170253763925
223,38.081428571428575,37.402692307692305
224,38.08714285714286,37.39016483516483
225,38.08697802197802,37.378846153846155
226,38.08203296703297,37.36983516483517
227,38.08065934065934,37.363626373626374
228,38.08142857142856,37.36192307692308
229,38.08087912087912,37.36956043956044
230,38.07956043956044,37.383461538461546
231,38.0771978021978,37.38115384615384
232,38.074175824175825,37.372362637362635
233,38.07148351648352,37.36631868131868
234,38.06406130907663,37.35598901098901
235,38.058511858527176,37.35027472527472
236,38.06202834204366,37.354890109890114
237,38.066204166219485,37.370494505494506
238,38.06906593406593,37.36252747252747
239,38.065109890109895,37.35186813186812
240,38.05653846153846,37.34675824175824
241,38.04615384615385,37.32472527472528
242,38.04060439560439,37.32142857142857
243,38.04148351648351,37.315824175824176
244,38.03291208791208,37.31032967032967
245,38.027417582417584,37.31692307692308
246,38.01620879120879,37.3117032967033
247,38.01186813186813,37.31802197802198
248,38.00923076923077,37.33043956043956
249,38.020274725274724,37.335
250,38.020109890109886,37.33
251,38.01016483516484,37.3328021978022
252,38.005824175824166,37.33543956043955
253,38.00142857142857,37.33186813186813
254,37.99340659340659,37.33060439560439
255,38.00247252747253,37.316318681318684
256,38.009560439560445,37.28413590940201
257,38.003516483516485,37.31133508892876
258,37.99532967032967,37.30649992409359
259,37.98615384615385,37.281938107204205
260,37.98516483516484,37.31655486914855
261,37.986538461538466,37.31276366035733
262,37.987912087912086,37.32093406593406
263,37.989560439560435,37.32708791208791
264,37.98604395604396,37.321758241758246
265,37.96972527472527,37.317197802197796
266,37.96346153846154,37.309065934065934
267,37.97153846153846,37.316373626373625
268,37.97945054945055,37.316538461538464
269,37.98500000000001,37.3278021978022
270,37.9910989010989,37.337527472527476
271,37.98241758241758,37.34291208791208
272,37.97587912087912,37.32626373626373
273,37.96818681318681,37.324725274725274
274,37.96565934065934,37.331648351648354
275,37.96802197802197,37.32285714285714
276,37.965329670329666,37.315989010989014
277,37.96296703296703,37.31478021978022
278,37.965,37.32291208791209
279,37.965604395604394,37.323406593406595
280,37.96835164835164,37.325109890109886
